"N","min(Elevation)","q1(Elevation)","med(Elevation)","q3(Elevation)","max(Elevation)","avg(Elevation)","std(Elevation)","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,2.0001,2.0001,2.0001,2.0001,2.0001,2.0001,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,0
1,1.9538,1.9538,1.9538,1.9538,1.9538,1.9538,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,1
1,1.8173,1.8173,1.8173,1.8173,1.8173,1.8173,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,2
1,1.5978,1.5978,1.5978,1.5978,1.5978,1.5978,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,3
1,1.3071,1.3071,1.3071,1.3071,1.3071,1.3071,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,4
1,0.95988,0.95988,0.95988,0.95988,0.95988,0.95988,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,5
1,0.57344,0.57344,0.57344,0.57344,0.57344,0.57344,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,6
1,0.16616,0.16616,0.16616,0.16616,0.16616,0.16616,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,7
1,-0.24344,-0.24344,-0.24344,-0.24344,-0.24344,-0.24344,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,8
1,-0.63757,-0.63757,-0.63757,-0.63757,-0.63757,-0.63757,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,9
1,-0.99996,-0.99996,-0.99996,-0.99996,-0.99996,-0.99996,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,10
1,-1.3163,-1.3163,-1.3163,-1.3163,-1.3163,-1.3163,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,11
1,-1.5748,-1.5748,-1.5748,-1.5748,-1.5748,-1.5748,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,12
1,-1.7659,-1.7659,-1.7659,-1.7659,-1.7659,-1.7659,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,13
1,-1.8829,-1.8829,-1.8829,-1.8829,-1.8829,-1.8829,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,14
1,-1.922,-1.922,-1.922,-1.922,-1.922,-1.922,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,15
1,-1.8817,-1.8817,-1.8817,-1.8817,-1.8817,-1.8817,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,16
1,-1.7634,-1.7634,-1.7634,-1.7634,-1.7634,-1.7634,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,17
1,-1.5712,-1.5712,-1.5712,-1.5712,-1.5712,-1.5712,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,18
1,-1.3107,-1.3107,-1.3107,-1.3107,-1.3107,-1.3107,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,19
1,-0.9638,-0.9638,-0.9638,-0.9638,-0.9638,-0.9638,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,20
1,-0.54421,-0.54421,-0.54421,-0.54421,-0.54421,-0.54421,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,21
1,-0.17972,-0.17972,-0.17972,-0.17972,-0.17972,-0.17972,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,22
1,0.20486,0.20486,0.20486,0.20486,0.20486,0.20486,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,23
1,0.60262,0.60262,0.60262,0.60262,0.60262,0.60262,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,24
1,0.99565,0.99565,0.99565,0.99565,0.99565,0.99565,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,25
1,1.3506,1.3506,1.3506,1.3506,1.3506,1.3506,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,26
1,1.6249,1.6249,1.6249,1.6249,1.6249,1.6249,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,27
1,1.8486,1.8486,1.8486,1.8486,1.8486,1.8486,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,28
1,1.9695,1.9695,1.9695,1.9695,1.9695,1.9695,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,29
1,2.0045,2.0045,2.0045,2.0045,2.0045,2.0045,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,30
1,1.9544,1.9544,1.9544,1.9544,1.9544,1.9544,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,31
1,1.7917,1.7917,1.7917,1.7917,1.7917,1.7917,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,32
1,1.5807,1.5807,1.5807,1.5807,1.5807,1.5807,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,33
1,1.2974,1.2974,1.2974,1.2974,1.2974,1.2974,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,34
1,0.93396,0.93396,0.93396,0.93396,0.93396,0.93396,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,35
1,0.54381,0.54381,0.54381,0.54381,0.54381,0.54381,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,36
1,0.1511,0.1511,0.1511,0.1511,0.1511,0.1511,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,37
1,-0.25038,-0.25038,-0.25038,-0.25038,-0.25038,-0.25038,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,38
1,-0.64491,-0.64491,-0.64491,-0.64491,-0.64491,-0.64491,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,39
1,-0.98887,-0.98887,-0.98887,-0.98887,-0.98887,-0.98887,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,40
1,-1.2984,-1.2984,-1.2984,-1.2984,-1.2984,-1.2984,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,41
1,-1.5495,-1.5495,-1.5495,-1.5495,-1.5495,-1.5495,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,42
1,-1.7375,-1.7375,-1.7375,-1.7375,-1.7375,-1.7375,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,43
1,-1.857,-1.857,-1.857,-1.857,-1.857,-1.857,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,44
1,-1.8711,-1.8711,-1.8711,-1.8711,-1.8711,-1.8711,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,45
1,-1.8394,-1.8394,-1.8394,-1.8394,-1.8394,-1.8394,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,46
1,-1.706,-1.706,-1.706,-1.706,-1.706,-1.706,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,47
1,-1.5234,-1.5234,-1.5234,-1.5234,-1.5234,-1.5234,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,48
1,-1.2741,-1.2741,-1.2741,-1.2741,-1.2741,-1.2741,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,49
1,-0.95063,-0.95063,-0.95063,-0.95063,-0.95063,-0.95063,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,50
1,-0.57622,-0.57622,-0.57622,-0.57622,-0.57622,-0.57622,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,51
1,-0.1749,-0.1749,-0.1749,-0.1749,-0.1749,-0.1749,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,52
1,0.2418,0.2418,0.2418,0.2418,0.2418,0.2418,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,53
1,0.63655,0.63655,0.63655,0.63655,0.63655,0.63655,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,54
1,1.037,1.037,1.037,1.037,1.037,1.037,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,55
1,1.3768,1.3768,1.3768,1.3768,1.3768,1.3768,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,56
1,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,57
1,1.878,1.878,1.878,1.878,1.878,1.878,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,58
1,2.0092,2.0092,2.0092,2.0092,2.0092,2.0092,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,59
1,2.0419,2.0419,2.0419,2.0419,2.0419,2.0419,0,271395,271395,271395,271395,271395,2.714e+05,0,-627.27,-627.27,-627.27,-627.27,-627.27,-627.27,0,-308.11,-308.11,-308.11,-308.11,-308.11,-308.11,0,0,0,0,0,0,0,0,1,60
